Date,daily_pnl,daily_vol,classification,value,rolling_pnl_7d
2023-03-28,0.0,477.0,Greed,59.0,0.0
2023-11-14,155.50335699999994,11555429.76,Greed,69.0,77.75167849999997
2024-03-09,176965.491774,39406770.25,Extreme Greed,84.0,59040.33171033333
2024-07-03,158742.378078,21843234.35,Neutral,50.0,83965.84330225
2024-10-27,3189461.032019,103947765.09,Greed,74.0,705064.8810456
2025-02-19,6699925.190574,704158492.98,Fear,44.0,1704208.265967
2025-06-15,71709.347634,310275273.03,,,1470994.1347765715
